
mgmt-opmon;OpenSSL;1.0.2k-fips
mgmt-opmon;opmon-server-1;3.0.0
mgmt-opmon;Rsyslog;8.24.0
mgmt-repo;Apache;2.4.6
mgmt-repo;Chrony;3.4
mgmt-repo;Filebeat;8.3.3
mgmt-repo;FirewallD;0.6.3
mgmt-repo;F-Secure Linux Security;12.0.35
mgmt-repo;linuxconfig;1.2.3
mgmt-repo;Linux kernel;3.10.0-1160.76.1.el7.x86_64
mgmt-repo;OpenSSH;7.4p1
mgmt-repo;OpenSSL;1.0.2k-fips
mgmt-repo;Rsyslog;8.24.0
mgmt-tssa;Chrony;3.4
mgmt-tssa;Filebeat;8.3.3
mgmt-tssa;FirewallD;0.6.3
mgmt-tssa;F-Secure Linux Security;12.0.35
mgmt-tssa;linuxconfig;1.2.3
mgmt-tssa;Linux kernel;3.10.0-1160.76.1.el7.x86_64
mgmt-tssa;OpenSSH;7.4p1
mgmt-tssa;OpenSSL;1.0.2k-fips
mgmt-tssa;Rsyslog;8.24.0
mgmt-tssa;ThinLinc;4.14.0
mgmt-wiki;Apache;2.4.6
mgmt-wiki;Apache Tomcat;8.5.78
mgmt-wiki;Chrony;3.4
mgmt-wiki;Filebeat;8.3.3
mgmt-wiki;FirewallD;0.6.3
mgmt-wiki;F-Secure Linux Security;12.0.35
mgmt-wiki;linuxconfig;1.2.3
mgmt-wiki;Linux kernel;3.10.0-1160.76.1.el7.x86_64
mgmt-wiki;OpenSSH;7.4p1
mgmt-wiki;OpenSSL;1.0.2k-fips
mgmt-wiki;PostgreSQL;13.8
mgmt-wiki;Rsyslog;8.24.0
mgmt-wiki;XWiki;13.10.8
mgmt-wsinstall;Miradore;5.6.0  
mgmt-wsinstall;Miradore Client;3.5.10 
mgmt-wsinstall;OS Name;Microsoft Windows Server 2019 Standard
mgmt-wsinstall;OS Version;10.0.17763
router;IOS ISR;16.12.5
router;IOS XE;16.12.05
router;Serial number;FCZ2306B0G7
switch1;Catalyst L3;16.6.4
switch1;IOS XE;16.06.04
switch1;Serial number;FOC2251X0NC
switch2;Catalyst L3;16.6.4
switch2;IOS XE;16.06.04
switch2;Serial number;FCW2251C0X6
switch3;Catalyst L3;16.6.4
switch3;IOS XE;16.06.04
switch3;Serial number;FCW2224F02Z
